trial_date,ParticipantIdentifier,SR_affect_neg_angry,SR_affect_neg_angry_am,SR_affect_neg_ashamed,SR_affect_neg_ashamed_am,SR_affect_neg_bored,SR_affect_neg_bored_am,SR_affect_neg_depressed,SR_affect_neg_depressed_am,SR_affect_neg_embarrassed,SR_affect_neg_embarrassed_am,SR_affect_neg_frustrated,SR_affect_neg_frustrated_am,SR_affect_neg_guilty,SR_affect_neg_guilty_am,SR_affect_neg_lazy,SR_affect_neg_lazy_am,SR_affect_neg_lonelyIsolated,SR_affect_neg_lonelyIsolated_am,SR_affect_neg_nervousAnxious,SR_affect_neg_nervousAnxious_am,SR_affect_neg_sad,SR_affect_neg_sad_am,SR_affect_neg_stressed,SR_affect_neg_stressed_am,SR_affect_pos_amused,SR_affect_pos_amused_am,SR_affect_pos_appreciated,SR_affect_pos_appreciated_am,SR_affect_pos_excited,SR_affect_pos_excited_am,SR_affect_pos_focused,SR_affect_pos_focused_am,SR_affect_pos_happy,SR_affect_pos_happy_am,SR_affect_pos_hopeful,SR_affect_pos_hopeful_am,SR_affect_pos_motivated,SR_affect_pos_motivated_am,SR_affect_pos_relaxedCalm,SR_affect_pos_relaxedCalm_am,drinks_gap,exercise_gap,leisureNonSolo_gap,leisureSolo_gap,nonoccupation_gap,occupation_gap,sleep_gap,socialMedia_gap
2022-10-06,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2.0,,1.0,,1.0,,1.0,,1.0,,3.0,,2.0,,1.0,,2.0,,2.0,,1.0,,3.0,,2.0,,2.0,,3.0,,3.0,,3.0,,3.0,,4.0,,2.0,,,,,,,,,
2022-10-06,0501ba67-3406-4779-aff1-878a0e9f7885,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-10-06,099765a5-a9c9-4fff-b297-a39eab517267,3.0,,2.0,,1.0,,1.0,,2.0,,5.0,,2.0,,2.0,,1.0,,3.0,,2.0,,3.0,,1.0,,4.0,,1.0,,2.0,,1.0,,3.0,,2.0,,2.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-10-06,0ca43379-41b5-47fb-90ba-0a22e6bf5586,3.0,,1.0,,3.0,,2.0,,1.0,,2.0,,2.0,,4.0,,2.0,,3.0,,1.0,,4.0,,2.0,,3.0,,2.0,,4.0,,2.0,,3.0,,4.0,,3.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-10-06,146e1ab8-c4ca-4a52-9261-e108b38eea53,2.0,,4.0,,5.0,,4.0,,4.0,,4.0,,4.0,,5.0,,5.0,,3.0,,3.0,,4.0,,4.0,,2.0,,4.0,,3.0,,4.0,,5.0,,4.0,,3.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-10-06,147400db-43d9-4155-8bf2-b85b8adf4315,4.0,,4.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,4.0,,3.0,,3.0,,3.0,,3.0,,4.0,,3.0,,4.0,,4.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-10-06,14b58072-ae3b-491e-a8ca-207f0d27ccf6,1.0,,1.0,,4.0,,3.0,,1.0,,4.0,,1.0,,4.0,,4.0,,4.0,,1.0,,4.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-10-06,156895d9-0f71-4844-92dd-3fb298f84f2b,1.0,,1.0,,3.0,,1.0,,1.0,,2.0,,1.0,,2.0,,2.0,,2.0,,1.0,,3.0,,3.0,,2.0,,3.0,,3.0,,3.0,,3.0,,3.0,,4.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-10-06,1b9b62f1-095b-4819-92a0-ea8e7abee884,5.0,,5.0,,5.0,,5.0,,5.0,,3.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-10-06,1e7aef96-16cc-43f8-95d4-e3bc582eb6d3,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,5.0,3.0,4.0,1.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
